id,start_date,end_date,created_at,updated_at,campaign_id,collateral_id
4,"2026-01-10 00:00:00.000000","2026-01-20 00:00:00.000000","2025-12-23 06:18:09.829769","2026-01-08 16:51:01.025294",5,4
8,NULL,NULL,"2025-12-26 03:50:15.146864","2025-12-26 03:50:15.147074",5,8
9,NULL,NULL,"2025-12-26 04:10:42.744466","2025-12-26 04:10:42.744613",5,9
10,NULL,NULL,"2025-12-26 04:16:08.672907","2025-12-26 04:16:08.673105",5,10
11,NULL,NULL,"2025-12-26 04:25:06.323934","2025-12-26 04:25:06.324136",5,11
12,NULL,NULL,"2025-12-26 04:33:51.286014","2025-12-26 04:33:51.286154",5,12
13,NULL,NULL,"2025-12-26 04:34:38.921130","2025-12-26 04:34:38.921271",5,13
14,NULL,NULL,"2025-12-26 04:38:01.535275","2025-12-26 04:38:01.535451",5,14
15,NULL,NULL,"2025-12-26 04:41:46.308909","2025-12-26 04:41:46.309051",5,15
16,NULL,NULL,"2025-12-26 04:51:14.169263","2025-12-26 04:51:14.169435",5,16
17,NULL,NULL,"2025-12-26 04:57:13.931087","2025-12-26 04:57:13.931250",5,17
18,NULL,NULL,"2025-12-26 05:19:36.035818","2025-12-26 05:19:36.036007",5,18
19,NULL,NULL,"2025-12-26 05:32:44.830731","2025-12-26 05:32:44.830938",5,19
20,NULL,NULL,"2025-12-26 05:53:41.204940","2025-12-26 05:53:41.205393",5,20
21,NULL,NULL,"2025-12-26 06:00:46.179055","2025-12-26 06:00:46.179201",5,21
22,NULL,NULL,"2025-12-26 06:03:59.623458","2025-12-26 06:03:59.623590",5,22
23,NULL,NULL,"2025-12-26 06:15:40.045946","2025-12-26 06:15:40.046082",5,23
24,NULL,NULL,"2025-12-26 06:19:42.707193","2025-12-26 06:19:42.707328",5,24
25,NULL,NULL,"2025-12-26 06:43:13.836873","2025-12-26 06:43:13.837010",5,25
26,NULL,NULL,"2025-12-26 06:46:29.109539","2025-12-26 06:46:29.109674",5,26
27,NULL,NULL,"2025-12-26 07:17:34.652975","2025-12-26 07:17:34.653114",5,27
28,NULL,NULL,"2025-12-27 07:04:54.000704","2025-12-27 07:04:54.000843",5,28
29,NULL,NULL,"2025-12-27 07:11:02.600522","2025-12-27 07:11:02.600658",5,29
30,NULL,NULL,"2025-12-27 07:28:23.190719","2025-12-27 07:28:23.190855",5,30
31,NULL,NULL,"2025-12-27 07:38:04.447726","2025-12-27 07:38:04.447895",5,31
32,NULL,NULL,"2025-12-29 04:54:53.681273","2025-12-29 04:54:53.681510",5,32
33,NULL,NULL,"2025-12-29 05:24:08.785683","2025-12-29 05:24:08.785825",5,33
34,NULL,NULL,"2025-12-29 06:24:58.500546","2025-12-29 06:24:58.500746",5,34
35,NULL,NULL,"2025-12-29 10:26:05.537505","2025-12-29 10:26:05.537696",5,35
37,NULL,NULL,"2026-01-01 15:23:23.529592","2026-01-01 15:23:23.529592",5,37
38,NULL,NULL,"2026-01-02 03:21:46.481898","2026-01-02 03:21:46.482002",5,38
39,NULL,NULL,"2026-01-02 03:26:47.489882","2026-01-02 03:26:47.490014",5,39
40,NULL,NULL,"2026-01-02 03:37:49.693509","2026-01-02 03:37:49.693650",5,40
43,NULL,NULL,"2026-01-08 13:26:03.101626","2026-01-08 13:26:03.102633",5,43
44,NULL,NULL,"2026-01-08 13:37:18.631720","2026-01-08 13:37:18.631720",5,44
45,NULL,NULL,"2026-01-08 13:53:01.630219","2026-01-08 13:53:01.630219",5,45
